name,count
Abbie,9
Ada,118
Addie,115
Adelaide,10
Adele,18
Adeline,16
Adell,36
Adelle,6
Agnes,106
Aileen,12
Alberta,101
Alene,17
Alice,309
Aline,21
Allene,13
Allie,41
Alma,194
Alpha,14
Alta,24
Alva,6
Amanda,46
Amelia,26
Amie,5
Amy,28
Angeline,5
Ann,73
Anna,190
Annabelle,9
Anne,60
Annette,23
Annice,5
Annie,1160
Arlene,5
Artie,24
Audie,10
Audrey,54
Augusta,20
Ava,6
Avie,6
Avis,25
Bama,11
Barbara,29
Beatrice,259
Belle,22
Bennie,23
Bernice,175
Bertha,290
Bertie,31
Bessie,365
Bettie,29
Betty,85
Beulah,80
Billie,26
Birdie,22
Blanch,5
Blanche,54
Bobbie,22
Bonnie,56
Bulah,16
Buna,15
Burma,5
Callie,77
Carol,5
Caroline,6
Carolyn,53
Carrie,286
Cassie,26
Catherine,150
Cecil,27
Cecile,7
Celia,17
Ceola,8
Charity,19
Charles,6
Charlie,26
Charlotte,34
Charlsie,6
Chloe,5
Christina,10
Christine,90
Claire,8
Clara,289
Clarice,15
Classie,10
Claudia,30
Claudie,23
Claudine,10
Clemmie,14
Cleo,39
Clyde,24
Connie,20
Cora,174
Corene,13
Corine,34
Corinne,27
Cornelia,29
Corrie,13
Corrine,12
Creola,15
Cumi,7
Cynthia,18
Daisy,172
Dannie,13
Delia,16
Della,67
Dessie,32
Dixie,20
Dollie,34
Dolly,7
Dolores,5
Donna,5
Donnie,11
Dora,102
Doris,88
Dorothy,285
Dorsey,6
Dorthy,12
Dovie,36
Earlean,5
Earlene,8
Earline,45
Earnestine,10
Easter,22
Eddie,55
Edith,153
Edna,282
Edwina,6
Effie,105
Eileen,7
Elaine,15
Eleanor,70
Elinor,6
Elisabeth,6
Elise,6
Eliza,60
Elizabeth,436
Ella,231
Ellen,88
Ellie,25
Elma,31
Elmira,13
Elnora,29
Eloise,60
Elouise,6
Elsie,135
Elva,20
Elvie,8
Elvira,7
Emily,45
Emma,343
Emmer,6
Emmie,21
Era,36
Erie,7
Erin,15
Erlene,8
Erma,24
Ernestine,30
Essie,170
Estell,27
Estella,57
Estelle,123
Ester,19
Esther,92
Ethel,418
Etta,53
Eugenia,26
Eula,146
Euna,7
Eunice,161
Eva,208
Evangeline,6
Evelyn,298
Evie,47
Exa,6
Exie,13
Fannie,246
Fay,12
Flora,159
Florence,177
Florene,12
Florine,13
Flossie,59
Floy,20
Frances,329
Francis,34
Frankie,37
Freda,12
Freddie,7
Fronie,6
Geneva,83
Genevieve,12
George,5
Georgia,116
Georgie,7
Geraldine,31
Gertha,14
Gertie,23
Gertrude,211
Gladys,379
Glennie,6
Goldie,15
Grace,231
Gracie,56
Gussie,62
Gwendolyn,24
Hannah,21
Harriet,8
Harriette,5
Hattie,256
Hazel,211
Helen,300
Henretta,6
Henrietta,47
Hester,24
Hettie,23
Hilda,30
Hortense,11
Icie,8
Ida,252
Idell,25
Idella,27
Ila,48
Ima,12
Imogene,13
Ina,27
Inell,7
Inez,171
Iola,28
Ione,5
Ira,13
Irean,5
Irene,235
Iris,17
Irma,30
Isabel,7
Isabell,23
Isabelle,22
Iva,42
Ivy,7
Izola,12
James,13
Jane,46
Janie,68
Jannie,30
Jean,38
Jeanette,33
Jeanne,6
Jeannette,15
Jennie,55
Jessie,299
Jettie,20
Jewel,91
Jewell,90
Jimmie,61
Joe,7
John,5
Johnie,23
Johnnie,146
Jonnie,6
Josephine,123
Josie,41
Joyce,21
Juanita,71
Julia,220
Juliette,5
June,13
Kate,40
Katherine,110
Katheryn,8
Kathleen,56
Kathryn,68
Katie,152
Kattie,5
Lacy,6
Laura,201
Laverne,7
Leatha,7
Lee,27
Leila,42
Lela,88
Lelia,18
Lena,123
Lennie,20
Lenora,28
Leola,92
Leona,71
Lera,5
Leslie,18
Lessie,67
Letha,22
Lettie,33
Lila,42
Lilie,7
Lilla,15
Lillian,304
Lillie,421
Lilly,9
Lily,25
Linda,8
Linnie,34
Liza,7
Lizzie,106
Lois,246
Lola,118
Lona,34
Lonie,9
Lonnie,18
Lora,26
Loraine,6
Lorena,21
Lorene,76
Loretta,8
Lorine,27
Lorraine,7
Lottie,82
Lou,34
Louella,19
Louisa,9
Louise,477
Louvenia,5
Lovie,24
Luciel,7
Lucile,216
Lucille,319
Lucinda,43
Lucy,175
Ludie,36
Lue,38
Luella,33
Lula,241
Luna,7
Lura,16
Lurline,10
Luvenia,15
Lyda,12
Lydia,31
Mabel,112
Mable,101
Macie,5
Madeline,30
Madge,25
Madie,10
Mae,155
Maggie,189
Magnolia,20
Malinda,6
Mallie,8
Mamie,234
Mammie,14
Mandy,19
Marcella,5
Margaret,434
Margarette,7
Margie,56
Marguerite,59
Maria,6
Mariah,11
Marian,17
Marie,270
Marietta,7
Marion,37
Marjorie,77
Martha,282
Mary,2554
Matilda,19
Mattie,549
Maud,20
Maude,36
Maudie,43
Maurine,11
Mavis,24
Maxine,31
May,32
Maybelle,10
Mayme,7
Mazie,15
Melba,12
Mellie,6
Merle,26
Mildred,433
Millie,34
Minnie,358
Miriam,26
Missouri,5
Mittie,34
Mollie,33
Mozell,24
Mozelle,25
Muriel,11
Myra,37
Myrtice,21
Myrtie,27
Myrtis,28
Myrtle,270
Nadine,22
Nan,5
Nancy,110
Nannie,50
Naomi,40
Nell,83
Nelle,8
Nellie,242
Nettie,99
Nina,42
Nola,16
Nona,19
Nora,92
Norma,38
Novella,5
Ocie,17
Octavia,12
Odell,35
Odessa,47
Ola,125
Olar,6
Olean,10
Oleta,6
Olga,8
Olive,21
Olivia,39
Ollie,119
Oma,22
Omie,5
Opal,102
Ophelia,24
Ora,133
Ossie,16
Ouida,6
Ozell,7
Pansy,5
Paralee,15
Patricia,23
Patsy,5
Pauline,202
Pearl,188
Pearlie,60
Pearline,7
Peggy,18
Pinkie,29
Polly,20
Queen,36
Queenie,6
Rachel,59
Reba,23
Rebecca,95
Regina,5
Rena,34
Ressie,13
Rhoda,13
Rilla,6
Rita,6
Robbie,26
Robert,5
Roberta,52
Rosa,275
Rosalee,18
Rosalie,26
Rose,118
Rosemary,5
Rosetta,34
Rosia,29
Rosie,216
Rossie,13
Roxie,21
Rubie,13
Ruby,616
Rubye,33
Ruth,515
Ruthie,22
Sadie,126
Sallie,166
Sally,43
Sammie,13
Sara,128
Sarah,364
Savannah,31
Selma,20
Shirley,31
Sophia,5
Sophie,5
Stella,65
Sudie,21
Sue,40
Susan,24
Susie,201
Sybil,13
Sylvia,34
Tempie,5
Tessie,25
Thelma,237
Theresa,30
Tommie,37
Tressie,7
Una,22
Vada,15
Valeria,5
Vallie,5
Vassie,11
Velma,198
Velva,6
Vennie,6
Vera,191
Verda,6
Verdie,12
Vergie,9
Verla,14
Verlie,5
Verna,47
Vernice,15
Vernie,5
Versa,5
Versie,19
Vesta,7
Vicie,5
Victoria,33
Vida,14
Viola,155
Violet,37
Virgia,6
Virgie,35
Virginia,213
Vivian,85
Voncile,15
Willa,28
Willie,679
Wilma,56
Winifred,5
Winnie,52
Zadie,5
Zelma,24
Zeola,11
Zora,10
Zula,17
